f_GHz,y_fit,y_model,residuals,baseline_raw
2.9146,0.9930745640812838,0.9993657735872526,-0.006291209505968842,0.07706897551575587
2.9148,0.9950921135100268,0.999354414417697,-0.004262300907670213,0.07707295505778777
2.915,0.9981756789533575,0.9993427182824078,-0.0011670393290503789,0.07707695450997232
2.9152,0.9956567155398817,0.9993306712928967,-0.0036739557530149902,0.0770809738723095
2.9154,0.9943069114156874,0.9993182588140698,-0.005011347398382382,0.07708501314479888
2.9156,0.9939976122441829,0.9993054654143951,-0.005307853170212207,0.07708907232744133
2.9158,0.9954609032787308,0.9992922748120739,-0.0038313715333431198,0.07709315142023598
2.916,0.9944830805546935,0.9992786698168408,-0.004795589262147293,0.07709725042318283
2.9162,0.9936592465751489,0.9992646322669785,-0.005605385691829556,0.07710136933628275
2.9164,0.9931820436220851,0.999250142961087,-0.006068099339001987,0.07710550815953443
2.9166,0.9953889748742469,0.999235181584089,-0.003846206709842037,0.07710966689293963
2.9168,0.9928434884058243,0.9992197266269085,-0.0063762382210842405,0.07711384553649703
2.917,0.9947671541828733,0.9992037552991815,-0.00443660111630817,0.07711804409020662
2.9172,0.9942632849305162,0.9991872434342962,-0.004923958503780024,0.07712226255406884
2.9174,0.9954670573325041,0.9991701653859645,-0.0037031080534604133,0.07712650092808326
