rank,candidate_idx,perm,signs,alpha_deg,beta_deg,gamma_deg,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,success
82,308,"(3, 0, 2, 1)","(-1, 1, -1, -1)",-2.2525069414205786e-09,89.8384601376733,9.287109017914523e-10,3.159349943898159e-09,2.6682377811155206e-21,8.260536804688756e-15,0.9999960254874866,True
83,321,"(3, 1, 0, 2)","(-1, -1, -1, 1)",-5.96734164286176e-10,89.83846013763664,29.999999999449965,3.1593499467200153e-09,4.632126504509856e-22,2.8115909472044866e-15,0.9999960254874848,True
84,334,"(3, 1, 0, 2)","(1, 1, 1, -1)",-5.96734164286176e-10,89.83846013763664,29.999999999449965,3.1593499467200153e-09,4.632126504509856e-22,2.8115909472044866e-15,0.9999960254874848,True
85,78,"(0, 3, 1, 2)","(1, 1, 1, -1)",-1.8937942591345618e-09,89.8384601375454,29.999999996030176,3.1593499537798707e-09,1.6681794241793117e-22,5.892903735164577e-15,0.9999960254874803,True
86,84,"(0, 3, 2, 1)","(-1, 1, -1, -1)",-8.094184521595331e-11,89.83846013743124,1.0788035821205693e-10,3.1593499627816956e-09,2.9646111036444417e-22,5.784535423275112e-15,0.9999960254874747,True
87,91,"(0, 3, 2, 1)","(1, -1, 1, 1)",-8.094184521595331e-11,89.83846013743124,1.0788035821205693e-10,3.1593499627816956e-09,2.9646111036444417e-22,5.784535423275112e-15,0.9999960254874747,True
88,322,"(3, 1, 0, 2)","(-1, -1, 1, -1)",-2.579594880638371e-10,89.8384601373472,29.999999999876763,3.1593499693135405e-09,1.5008082579261075e-21,4.290309365903226e-15,0.9999960254874706,True
89,347,"(3, 1, 2, 0)","(1, -1, 1, 1)",-1.1621021574671358e-09,89.838460137238,-1.5940944082707901e-09,3.159349977785724e-09,1.5008097745807623e-21,3.759489045762708e-15,0.9999960254874652,True
90,203,"(2, 0, 1, 3)","(1, -1, 1, 1)",29.99999999490585,89.83846013702016,-4.977203615151002e-10,3.159349994905167e-09,7.414074029264387e-23,3.2658929594638836e-15,0.9999960254874545,True
91,299,"(3, 0, 1, 2)","(1, -1, 1, 1)",-1.0409437215795896e-09,89.83846013692354,6.971438410500915e-10,3.15935000249522e-09,4.633230461036495e-22,8.442562982125561e-15,0.9999960254874497,True
92,196,"(2, 0, 1, 3)","(-1, 1, -1, -1)",29.9999999968221,89.83846013614328,-1.0523687697367726e-10,3.159350063565984e-09,9.079561840214594e-22,5.499060650099444e-15,0.9999960254874113,True
93,87,"(0, 3, 2, 1)","(-1, 1, 1, 1)",-9.813596431267407e-09,89.83846013584667,-5.744289817298119e-09,3.1593500866875396e-09,4.633793144259957e-22,7.137735410865528e-15,0.9999960254873967,True
94,274,"(2, 3, 1, 0)","(-1, -1, 1, -1)",-1.077132140379828e-09,89.83846013386305,-5.489161161024935e-10,3.1593502418339513e-09,1.855531448012268e-23,5.24827526659635e-15,0.9999960254872992,True
95,335,"(3, 1, 0, 2)","(1, 1, 1, 1)",8.718711459054912e-10,89.83846011084809,1.929952190210692e-09,3.1593520425263323e-09,1.6675830105164724e-22,2.018856444535345e-15,0.9999960254861665,True
96,155,"(1, 2, 3, 0)","(1, -1, 1, 1)",30.000000000286033,89.83846011056546,7.262199957890872e-10,3.1593520645891496e-09,2.1083108315576005e-27,4.0943002132167226e-15,0.9999960254861526,True
